Input,Output,PMID
confocal analysis of oocytes expressing _BLANKP_ _BLANKM_ n alone or gfp plus showed that the amount of _PROTEIN_ _METHOD_ p present in the _LOCATION_ e was significantly greater in coexpressing cells .,Y,14671024_cleaned_manual_RD
the data showed a significant increase in the amount of gfp in the membranes of oocytes coexpressing gfp and compared with controls indicating that interacts with gfp to increase the amoun _PROTEIN_ _BLANKM_ _METHOD_ gfp in the oo _LOCATION_ brane .,Y,14671024_cleaned_manual_RD
confocal analysis of oocytes expressing _PROTEIN_ _METHOD_ n alone or gfp plus showed that the amount of _BLANKP_ _BLANKM_ p present in the _LOCATION_ e was significantly greater in coexpressing cells .,N,14671024_cleaned_manual_RD
confocal analysis of oocytes expressing _PROTEIN_ _BLANKM_ n alone or gfp plus showed that the amount of _BLANKP_ _METHOD_ p present in the _LOCATION_ e was significantly greater in coexpressing cells .,N,14671024_cleaned_manual_RD
abstract _PROTEIN_ _METHOD_ n was localized in the _LOCATION_ e of onion epidermal cells .,Y,15255870_cleaned_manual_RD
_PROTEIN_ _METHOD_ gfp fusion protein is solely localized to _LOCATION_ leus .,Y,16115061_cleaned_manual_RD
abstract _PROTEIN_ r _METHOD_ p protein was localized to the _LOCATION_ s indicating that nrr may act directly to suppress the activation of defense genes .,Y,16115061_cleaned_manual_RD
when chimeric molecules were introduced into arabidopsis protoplasts prepared from whole seedlings we found that _PROTEIN_ _METHOD_ gfp was indeed localized to _LOCATION_ cleus,Y,16141453_cleaned_manual_RD
as a positive control the previously characteri _LOCATION_ lear localization signal of _PROTEIN_ protein was fused _METHOD_ tein and the fusion protein was expressed using the same regulatory elements,Y,16141453_cleaned_manual_RD
the _PROTEIN_ _METHOD_ n fusion protein was localized to the _LOCATION_ s .,Y,16141453_cleaned_manual_RD
abstract _BLANKP_ and _PROTEIN_ _METHOD_ n fusion proteins localized to the _LOCATION_ e when transiently expressed in onion epidermal cells .,Y,16412081_cleaned_manual_RD
abstract _BLANKM_ p fused with _BLANKP_ localized to the _BLANKL_ s. in contrast the _METHOD_ p fusion with _PROTEIN_ did not target _BLANKL_ ds and appeared to localize to _LOCATION_ a .,Y,16460507_cleaned_manual_RD
the fluorescent foci i _PROTEIN_ e _METHOD_ gfp transformed cells were shown to correspo _LOCATION_ astids by examining the cells with transmitted light .,Y,16460507_cleaned_manual_RD
the size and distribution _PROTEIN_ h _METHOD_ gfp foci is consistent with t _LOCATION_ hondria as visualized _BLANKP_ e _BLANKM_ xiv gfp transformants,Y,16460507_cleaned_manual_RD
abstract _METHOD_ p fused with _PROTEIN_ localized to the _LOCATION_ s. in contrast the _BLANKM_ p fusion with _BLANKP_ did not target _BLANKL_ ds and appeared to localize to _BLANKL_ a .,Y,16460507_cleaned_manual_RD
a plasmid carryin _PROTEIN_ o _METHOD_ gfp fusion was used as a positive control _LOCATION_ rial localization,Y,16460507_cleaned_manual_RD
confocal micrographs of maize leaf cells transformed _BLANKP_ _BLANKM_ gfp _BLANKP_ _BLANKM_ gfp _PROTEIN_ _METHOD_ gfp transformed maize leaf cell viewed by fluorescence and differential interference contrast microscopy showing localization of gf _LOCATION_ stids .,Y,16460507_cleaned_manual_RD
the size and distribution _BLANKP_ h _BLANKM_ gfp foci is consistent with t _LOCATION_ hondria as visualized _PROTEIN_ e _METHOD_ xiv gfp transformants,Y,16460507_cleaned_manual_RD
abstract _METHOD_ p fused with _PROTEIN_ localized to the _BLANKL_ s. in contrast the _BLANKM_ p fusion with _BLANKP_ did not target _LOCATION_ ds and appeared to localize to _BLANKL_ a .,N,16460507_cleaned_manual_RD
abstract _BLANKM_ p fused with _PROTEIN_ localized to the _LOCATION_ s. in contrast the _METHOD_ p fusion with _BLANKP_ did not target _BLANKL_ ds and appeared to localize to _BLANKL_ a .,N,16460507_cleaned_manual_RD
abstract _BLANKM_ p fused with _BLANKP_ localized to the _BLANKL_ s. in contrast the _METHOD_ p fusion with _PROTEIN_ did not target _LOCATION_ ds and appeared to localize to _BLANKL_ a .,N,16460507_cleaned_manual_RD
confocal micrographs of maize leaf cells transformed _PROTEIN_ _METHOD_ gfp _BLANKP_ _BLANKM_ gfp _BLANKP_ _BLANKM_ gfp transformed maize leaf cell viewed by fluorescence and differential interference contrast microscopy showing localization of gf _LOCATION_ stids .,N,16460507_cleaned_manual_RD
confocal micrographs of maize leaf cells transformed _PROTEIN_ _BLANKM_ gfp _BLANKP_ _METHOD_ gfp _BLANKP_ _BLANKM_ gfp transformed maize leaf cell viewed by fluorescence and differential interference contrast microscopy showing localization of gf _LOCATION_ stids .,N,16460507_cleaned_manual_RD
confocal micrographs of maize leaf cells transformed _PROTEIN_ _BLANKM_ gfp _BLANKP_ _BLANKM_ gfp _BLANKP_ _METHOD_ gfp transformed maize leaf cell viewed by fluorescence and differential interference contrast microscopy showing localization of gf _LOCATION_ stids .,N,16460507_cleaned_manual_RD
