Paper ID,PMCID,DOI,Method,Full Text Europe PMC,HREF,Year,Author,Title
26163696,,,GFP,,http://doi.org/10.1093/jxb/erv337,2015,Jeon Y et al.,The nucleolar GTPase nucleostemin-like 1 plays a role in plant growth and senescence by modulating ribosome biogenesis.
24851876,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/24851876,2014,"Zhang H, et al.",A DTX/MATE-Type Transporter Facilitates Abscisic Acid Efflux and Modulates ABA Sensitivity and Drought Tolerance in Arabidopsis.
14578924,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/14578924,2003,"Bhushan S, et al.",Dual targeting and function of a protease in mitochondria and chloroplasts
23515225,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/23515225,2013,"El Kasmi F, et al.",SNARE complexes of different composition jointly mediate membrane fusion in Arabidopsis cytokinesis.
22821940,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/22821940,2012,"Murayama M, et al.","Isolation of Arabidopsis ahg11, a weak ABA hypersensitive mutant defective in nad4 RNA editing."
10998191,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/10998191,2000,"Kiyosue T, et al.",LKP1 (LOV kelch protein 1): a factor involved in the regulation of flowering time in arabidopsis
25736058,,,GFP,,http://dx.doi.org/10.1105/tpc.115.136234,2015,Okazaki K et al.,Phosphatidylinositol 4-phosphate negatively regulates chloroplast division in Arabidopsis.
11432957,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/11432957,2001,"Storozhenko S, et al.","Arabidopsis coactivator ALY-like proteins, DIP1 and DIP2, interact physically with the DNA-binding domain of the Zn-finger poly(ADP-ribose) polymerase"
18032629,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/18032629,2007,"Yang C, et al.",MALE STERILITY1 is required for tapetal development and pollen wall biosynthesis
16407306,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/16407306,2006,"Meyer A, et al.","AtGAT1, a high affinity transporter for gamma-aminobutyric acid in Arabidopsis thaliana"
17525078,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/17525078,2007,"Christians MJ, et al.",Mutational loss of the prohibitin AtPHB3 results in an extreme constitutive ethylene response phenotype coupled with partial loss of ethylene-inducible gene expression in Arabidopsis seedlings
18055610,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/18055610,2007,"Goh T, et al.","VPS9a, the common activator for two distinct types of Rab5 GTPases, is essential for the development of Arabidopsis thaliana"
18252252,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/18252252,2008,"Cartagena JA, et al.",The Arabidopsis SDG4 contributes to the regulation of pollen tube growth by methylation of histone H3 lysines 4 and 36 in mature pollen
21551389,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/21551389,2011,"Lucas JR, et al.",Microtubule-associated proteins MAP65-1 and MAP65-2 positively regulate axial cell growth in etiolated Arabidopsis hypocotyls.
19369591,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/19369591,2009,"Avisar D, et al.",A comparative study of the involvement of 17 Arabidopsis myosin family members on the motility of Golgi and other organelles.
23243126,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/23243126,2012,"Liwanag AJ, et al.","Pectin Biosynthesis: GALS1 in Arabidopsis thaliana Is a β-1,4-Galactan β-1,4-Galactosyltransferase."
27240439,,,GFP,,http://dx.doi.org/10.1007/s00709-016-0987-6,2017,Wang X et al.,A rapid and efficient method to study the function of crop plant transporters in Arabidopsis.
23057508,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/23057508,2013,"Kuo WY, et al.",CHAPERONIN 20 mediates iron superoxide dismutase (FeSOD) activity independent of its co-chaperonin role in Arabidopsis chloroplasts.
21453442,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/21453442,2011,"Lummer M, et al.",Reversible photoswitchable DRONPA-s monitors nucleocytoplasmic transport of an RNA-binding protein in transgenic plants.
12566589,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/12566589,2003,"Burget EG, et al.",The biosynthesis of L-arabinose in plants: molecular cloning and characterization of a Golgi-localized UDP-D-xylose 4-epimerase encoded by the MUR4 gene of Arabidopsis
14988481,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/14988481,2004,"Hicks GR, et al.","Geminating pollen has tubular vacuoles, displays highly dynamic vacuole biogenesis, and requires VACUOLESS1 for proper function"
22872756,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/22872756,2012,"Leshem Y, et al.",Molecular characterization of the glauce mutant: a central cell-specific function is required for double fertilization in Arabidopsis.
16679415,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/16679415,2006,"Chen JG, et al.",Differential roles of Arabidopsis heterotrimeric G-protein subunits in modulating cell division in roots
17951448,,,"MS/MS,GFP",,http://www.ncbi.nlm.nih.gov/pubmed/17951448,2007,"Reumann S, et al.","Proteome analysis of Arabidopsis leaf peroxisomes reveals novel targeting peptides, metabolic pathways, and defense mechanisms"
26402847,,,GFP,,http://doi.org/10.1111/tpj.13034,2015,Guan X et al.,A phosphopantetheinyl transferase that is essential for mitochondrial fatty acid biosynthesis.
21413151,,,MS/MS,,http://www.ncbi.nlm.nih.gov/pubmed/21413151,2011,"Monneuse JM, et al.",Towards the profiling of the Arabidopsis thaliana plasma membrane transportome by targeted proteomics.
18453549,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/18453549,2008,"Ueda M, et al.",Substitution of the gene for chloroplast RPS16 was assisted by generation of a dual targeting signal.
12681307,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/12681307,2003,"Elias M, et al.",The exocyst complex in plants
