Gene,Protein,Location,Methodology
AT1G06190,RHON1,cytoskeleton,MS
AT3G50670,U1-70K,Cytoskeleton,ms/ms
AT1G06620,U1SNRNP,cytosol,MS/MS
AT5G20300,Toc90,Cytosol,gfp
AT1G68510,LBD42,endoplasmic,GFP
AT5G39110,AIRP3,Endoplasmic,fp
AT3G09770,AtAIRP3,reticulum,FP
AT4G22890,LOG2,Reticulum,fluorescent
AT5G43650,PGR5-LIKE A,Eeticulum,Fluorescent
AT2G41880,BHLH92,extracellular,fluorescence
AT4G37390,AGK1,Extracellular,Fluorescence
AT2G43018,GK-1,golgi,mass
AT5G24950,AUR3,Golgi,Mass
AT5G44790,BRU6,mitochondrion,spectrometry
AT2G34630,GH3-2,Mitochondrion,Spectrometry
AT2G43010,GH3.2,nucleus,
AT1G49040,YDK1,Nucleus,
AT5G61320,CPuORF17,nuclei,
AT1G78300,CYP71A15,Nuclei,
AT4G17380,HMA7,nuclear,
AT5G07710,RAN1,Nuclear,
AT5G35920,GPPS,peroxisome,
AT1G09210,GPS1,Peroxisome,
AT1G58430,AtPIF4,plasma,
AT3G11260,PIF4,Plasma,
AT5G01650,SRL2,membrane,
AT5G05570,SCD1,Membrane,
AT1G76490,CYP89A3,plastid,
ATCG00160,14-3-3OMEGA,Plastid,
AT1G16280,GF14 OMEGA,vacuole,
AT5G02290,GRF2,Vacuole,
AT5G59710,ATMSH4,ER,
AT1G73720,MSH4,plastoglobules,
ATCG00690,MSH4,Plastoglobules,
AT5G62480,CYP79A4P,thylakoid,
AT1G53320,AtCRT1b,Thylakoid,
AT5G21960,CRT1b,vacuolar,
AT3G23820,RXF26,Vacuole,
AT1G53325,WOX5,,
AT1G31690,WOX5B,,
AT5G64620,AtHMGR1,,
AT4G31820,HMG1,,
AT1G75280,HMGR1,,
AT1G29600,MAD3,,
AT4G17030,RPS2,,
AT2G37010,AtRH36,,
AT5G54230,RH36,,
AT2G01690,SWA3,,
AT3G60020,NAK,,
AT4G33090,AtVIP2,,
AT1G68690,NOT2b,,
AT1G19850,VIP2,,
AT1G67840,SMU1,,
AT1G51780,PSBT,,
AT4G21200,PSBTC,,
