Input,Output,PMID
_METHOD_ fused to _PROTEIN_ did not show membrane association and was localized to the _LOCATION_ similar to gfp .,Y,10209027
interestingly observation at higher magnification revealed that the _PROTEIN_ _METHOD_ fluorescence was speckled within the _LOCATION_ region .,Y,10225946
that _PROTEIN_ _METHOD_ was distributed outside the _LOCATION_ and throughout the cell in darkness .,Y,10225946
_PROTEIN_ _METHOD_ localizes to the _LOCATION_ in the light intracellular localization of the _BLANKP_ _BLANKM_ fusion protein in the pbg seedlings was examined .,Y,10225946
red light induces _LOCATION_ accumulation of _PROTEIN_ _METHOD_ the time course of nuclear accumulation of phyb gfp during the dark to light transition was followed .,Y,10225946
_PROTEIN_ _BLANKM_ localizes to the _LOCATION_ in the light intracellular localization of the _BLANKP_ _METHOD_ fusion protein in the pbg seedlings was examined .,N,10225946
_BLANKP_ _METHOD_ localizes to the _LOCATION_ in the light intracellular localization of the _PROTEIN_ _BLANKM_ fusion protein in the pbg seedlings was examined .,N,10225946
_BLANKP_ _BLANKM_ localizes to the _LOCATION_ in the light intracellular localization of the _PROTEIN_ _METHOD_ fusion protein in the pbg seedlings was examined .,N,10225946
overall the behavior of the _PROTEIN_ _METHOD_ fusion protein paralleled that of the native protein both with respect to its localization patterns and with regard to its dosage dependent impact on _LOCATION_ division .,Y,11285278
we conclude that the _PROTEIN_ _METHOD_ fusion protein accurately reflects the activity of in vivo . _BLANKP_ and _BLANKP_ rings are present in _LOCATION_ of other plants to determine whether and proteins assemble into rings in plants,N,11285278
we conclude that the _BLANKP_ _METHOD_ fusion protein accurately reflects the activity of in vivo . _PROTEIN_ and _BLANKP_ rings are present in _LOCATION_ of other plants to determine whether and proteins assemble into rings in plants,N,11285278
we conclude that the _BLANKP_ _METHOD_ fusion protein accurately reflects the activity of in vivo . _BLANKP_ and _PROTEIN_ rings are present in _LOCATION_ of other plants to determine whether and proteins assemble into rings in plants,N,11285278
subcellular accumulation sites for these proteins were compared to those of glucurodinase gfp and _LOCATION_ inclusion a protein _PROTEIN_ _METHOD_ .,Y,15024409
note that the gus gfp control protein accumulates in cytoplasm at the cell periphery and immediately surrounding nuclei while the _PROTEIN_ _METHOD_ control protein accumulates in _LOCATION_ .,Y,15024409
the _BLANKP_ _BLANKM_ _BLANKP_ _BLANKM_ and _METHOD_ _PROTEIN_ fusion proteins were detected exclusively in the _LOCATION_ indicating that and possess independent nuclear transport capability .,Y,15024409
the _PROTEIN_ _METHOD_ _BLANKP_ _BLANKM_ and _BLANKM_ _BLANKP_ fusion proteins were detected exclusively in the _LOCATION_ indicating that and possess independent nuclear transport capability .,Y,15024409
the _BLANKP_ _BLANKM_ _PROTEIN_ _METHOD_ and _BLANKM_ _BLANKP_ fusion proteins were detected exclusively in the _LOCATION_ indicating that and possess independent nuclear transport capability .,Y,15024409
the _PROTEIN_ _METHOD_ fusion protein accumulated predominantly in the _LOCATION_ of n. benthamiana cells in the transient assay system although some cytosolic localization was also detected .,Y,15024409
analysis of gfp fusion proteins the _PROTEIN_ _METHOD_ construct contained the _BLANKP_ coding region fused to _LOCATION_ coding sequence flanked by the cauliflower mosaic virus promoter and terminator sequences .,N,15024409
analysis of gfp fusion proteins the _BLANKP_ _METHOD_ construct contained the _PROTEIN_ coding region fused to _LOCATION_ coding sequence flanked by the cauliflower mosaic virus promoter and terminator sequences .,N,15024409
the _PROTEIN_ _BLANKM_ _BLANKP_ _METHOD_ and _BLANKM_ _BLANKP_ fusion proteins were detected exclusively in the _LOCATION_ indicating that and possess independent nuclear transport capability .,N,15024409
the _PROTEIN_ _BLANKM_ _BLANKP_ _BLANKM_ and _METHOD_ _BLANKP_ fusion proteins were detected exclusively in the _LOCATION_ indicating that and possess independent nuclear transport capability .,N,15024409
the _BLANKP_ _METHOD_ _PROTEIN_ _BLANKM_ and _BLANKM_ _BLANKP_ fusion proteins were detected exclusively in the _LOCATION_ indicating that and possess independent nuclear transport capability .,N,15024409
the _BLANKP_ _BLANKM_ _PROTEIN_ _BLANKM_ and _METHOD_ _BLANKP_ fusion proteins were detected exclusively in the _LOCATION_ indicating that and possess independent nuclear transport capability .,N,15024409
the _BLANKP_ _METHOD_ _BLANKP_ _BLANKM_ and _BLANKM_ _PROTEIN_ fusion proteins were detected exclusively in the _LOCATION_ indicating that and possess independent nuclear transport capability .,N,15024409
the _BLANKP_ _BLANKM_ _BLANKP_ _METHOD_ and _BLANKM_ _PROTEIN_ fusion proteins were detected exclusively in the _LOCATION_ indicating that and possess independent nuclear transport capability .,N,15024409
results fluorescence of a _PROTEIN_ _METHOD_ fusion protein transiently expressed in young pea leaves was found at the periphery of mature _LOCATION_ and on _BLANKL_ by confocal fluorescence microscopy .,Y,15086960
results fluorescence of a _PROTEIN_ _METHOD_ fusion protein transiently expressed in young pea leaves was found at the periphery of mature _BLANKL_ and on _LOCATION_ by confocal fluorescence microscopy .,Y,15086960
time lapse confocal imaging was used to characterize wound induced cell death using _METHOD_ _PROTEIN_ and markers of the _BLANKL_ and _LOCATION_ .,Y,15796778
following a puncture wound _METHOD_ _PROTEIN_ rapidly translocates from the _LOCATION_ to organelle associated aggregates in cells adjacent to and at a distance from wounds suggesting that the marker responds to,Y,15796778
time lapse confocal imaging was used to characterize wound induced cell death using _METHOD_ _PROTEIN_ and markers of the _LOCATION_ and _BLANKL_ .,Y,15796778
however both fusion proteins _BLANKM_ _BLANKP_ and _PROTEIN_ _METHOD_ remained in the _LOCATION_ .,Y,16513846
however both fusion proteins _METHOD_ _PROTEIN_ and _BLANKP_ _BLANKM_ remained in the _LOCATION_ .,Y,16513846
however both fusion proteins _BLANKM_ _PROTEIN_ and _BLANKP_ _METHOD_ remained in the _LOCATION_ .,N,16513846
however both fusion proteins _METHOD_ _BLANKP_ and _PROTEIN_ _BLANKM_ remained in the _LOCATION_ .,N,16513846
the _LOCATION_ retention of the chimeric _METHOD_ _PROTEIN_ protein was further substantiated by confocal laser microscopy scanning and staining of nuclei with propidium iodide .,N,16513846
like gfp _PROTEIN_ _METHOD_ displayed a very specific localization with uniform expression in the whole _LOCATION_ in most of the nuclei investigated and much weaker expression in the _BLANKL_ .,Y,17020925
plants expressing the _PROTEIN_ _METHOD_ splice variant showed a strong gfp signal in the _LOCATION_ and a very weak signal in the _BLANKL_ .,Y,17020925
the signal from _METHOD_ _PROTEIN_ devoid of the terminal nls was also found localized in such spots however also in distinct spots in the _LOCATION_ .,Y,17020925
_PROTEIN_ _METHOD_ expression was mainly seen in subdomains associated with or within the _LOCATION_ and a weaker signal was present in the _BLANKL_ .,Y,17020925
like gfp _PROTEIN_ _METHOD_ displayed a very specific localization with uniform expression in the whole _BLANKL_ in most of the nuclei investigated and much weaker expression in the _LOCATION_ .,Y,17020925
plants expressing the _PROTEIN_ _METHOD_ splice variant showed a strong gfp signal in the _BLANKL_ and a very weak signal in the _LOCATION_ .,Y,17020925
additionally a variable number of nuclear bodies of unequal size were observed in _PROTEIN_ _METHOD_ expressing cells suggesting specific association with _LOCATION_ regions .,Y,17020925
_PROTEIN_ _METHOD_ expression was mainly seen in subdomains associated with or within the _BLANKL_ and a weaker signal was present in the _LOCATION_ .,Y,17020925
in plants transformed with the _PROTEIN_ _METHOD_ construct strong gfp expression was in contrast detected in the _LOCATION_ and the protein was excluded from the nucleolus and the densely dapi stained heterochromatin .,Y,17020925
the _METHOD_ as a trackable cargo was targeted to _LOCATION_ when fused to plastoglobulin _PROTEIN_ as the carrier .,Y,17214877
yfp patterns were similar to those observed in protoplasts transiently expressing _PROTEIN_ _METHOD_ indicating targeting of the yfp cargo to _LOCATION_ in planta .,Y,17214877
results sequence requirement for targeting of _PROTEIN_ _METHOD_ to _LOCATION_ in the absence of data on the sequence requirement for plastoglobule targeting we designed a series of c terminal gfp fusion constructs that removed portions of coding sequence .,Y,17214877
_PROTEIN_ protein recognizes the ttgacc w box sequences and its translational fusion with _METHOD_ is localized to the _LOCATION_ .,Y,17214894
as shown in figure the transiently expressed _PROTEIN_ _METHOD_ fusion protein was localized exclusively to the _LOCATION_ .,Y,17214894
myosin xi _PROTEIN_ previously reported to localize to peroxisomes by immunofluorescence labeled both _LOCATION_ and _BLANKL_ when expressed as a _METHOD_ tail fusion .,Y,17288617
after transient expression both _BLANKM_ _BLANKP_ and _METHOD_ _PROTEIN_ constructs did label _LOCATION_ in onion cells as well as in tobacco leaves as expected .,Y,17288617
we expressed either the _BLANKP_ _BLANKM_ construct for _BLANKL_ _PROTEIN_ _METHOD_ for _LOCATION_ and _BLANKP_ _BLANKM_ for _BLANKL_ labeling .,Y,17288617
the overlap of the signal of _METHOD_ _PROTEIN_ with the _LOCATION_ and _BLANKL_ markers is suggestive but not entirely conclusive because yfp and gfp are difficult to separate due to overlapping excitation peaks .,Y,17288617
the overlap of the signal of _METHOD_ _PROTEIN_ with the _BLANKL_ and _LOCATION_ markers is suggestive but not entirely conclusive because yfp and gfp are difficult to separate due to overlapping excitation peaks .,Y,17288617
transient expression of yfp myosin xi tail or yfp myosin xi tail in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _BLANKM_ _BLANKP_ or _BLANKL_ marker _BLANKP_ _BLANKM_ or _LOCATION_ marker _PROTEIN_ _METHOD_ .,Y,17288617
the co localization of _METHOD_ _PROTEIN_ confirms the finding that this myosin interacts with _LOCATION_ as previously reported in studies using anti antibodies in transgenic arabidopsis plants expressing a gfp tagged peroxisomal targeting signal peptide .,Y,17288617
transient expression of yfp myosin xi tail or yfp myosin xi tail in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _BLANKM_ _BLANKP_ or _LOCATION_ marker _PROTEIN_ _METHOD_ or _BLANKL_ marker _BLANKP_ _BLANKM_ .,Y,17288617
myosin xi _PROTEIN_ previously reported to localize to peroxisomes by immunofluorescence labeled both _BLANKL_ and _LOCATION_ when expressed as a _METHOD_ tail fusion .,Y,17288617
transient expression of yfp myosin xi tail or yfp myosin xi tail in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _BLANKM_ _BLANKP_ or mitochondrial marker coxiv gfp or _LOCATION_ marker _PROTEIN_ _METHOD_ .,Y,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _BLANKM_ _BLANKP_ or _LOCATION_ marker _PROTEIN_ _METHOD_ or _BLANKL_ marker _BLANKP_ _BLANKM_ .,Y,17288617
we expressed either the _PROTEIN_ _METHOD_ construct for _LOCATION_ _BLANKP_ _BLANKM_ for _BLANKL_ and _BLANKP_ _BLANKM_ for _BLANKL_ labeling .,Y,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _BLANKM_ _BLANKP_ or _BLANKL_ marker _BLANKP_ _BLANKM_ or _LOCATION_ marker _PROTEIN_ _METHOD_ .,Y,17288617
